trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-40.987761845539765,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-158.04024430172075,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-58.834705031469404,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-162.44416607856695,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-102.96507879746021,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-185.3649667366626,"{0: 19, 1: 5, 2: 6, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,1,-58.32830591019717,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-93.47449147164721,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-115.91876328133235,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-113.97156650592589,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,15,-85.42372944448019,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-81.42468900104285,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-102.5544497946681,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,3,18.216222021834817,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,18,21.557034588033975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,-9.8630838371442,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,9,27.941465796193544,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,13,11.327321132510518,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,-42.89612136659316,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,15.413640020336484,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,8,-4.846284328509662,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,8,21.154512462116102,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,7,-24.403515146516696,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-30.918810338768015,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,5.947806219777862,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,3,-89.50970545554802,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 2}",1
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,9,22.262687315484996,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",30,6,33.82504472282037,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-14.835826780634996,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,2,26.242146075107897,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
