trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.389233677310784,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-88.59629177868966,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-99.43427781053445,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-106.34700163259376,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-80.02647034527537,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-103.59812474530385,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-217.63299832043057,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-54.70222396228447,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-135.59574126631136,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-168.03875404452847,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-86.5607093773476,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-294.75448383231793,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 6}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-178.4175549955306,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,8,-97.5358905912773,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,9,-29.31994375671128,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-136.27092454527764,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-98.72943095981536,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
