trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-230.08193847565232,"{0: 7, 1: 1, 2: 7, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.8294336731454,"{0: 16, 1: 3, 2: 6, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.57505727394914,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,9,-26.982929346414025,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.67263485656996,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-101.1400300882361,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.60465393761294,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-150.8371314312828,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.95653598458193,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.17506713739198,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,1,-77.27043523981189,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.38905482412443,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.5064742841075,"{0: 12, 1: 7, 2: 9, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.35660674603253,"{0: 12, 1: 4, 2: 4, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-242.29198778449518,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.27187945708616,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.06984261221956,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.37860698702065,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,19,-27.942265214942694,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-293.2129497834591,"{0: 16, 1: 2, 2: 12, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,5,-62.60581928036867,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.86618575123526,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.29893329862347,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-196.136516686427,"{0: 6, 1: 1, 2: 10, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.51101680890244,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.74205982353278,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.8114981092239,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.15238646350458,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,6,-69.58623821264999,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-230.39218941216447,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
